further_info_table,link,name,num_reviews,overall_rating,price,rank_in_group,rank_overall,sales_info,Frets,Scale,Colour_amber,Colour_black,Colour_black matt,Colour_black natural burst,Colour_black with graphics,"Colour_black, white",Colour_blonde,Colour_blue,Colour_bourbon burst,Colour_brown,Colour_burgundy,Colour_burst,Colour_cherry,Colour_cherry burst,Colour_cherry burst flame,Colour_cherry sunburst,Colour_cognac burst flame,Colour_ebony,Colour_gold,Colour_green,Colour_grey,Colour_honey,Colour_honeyburst,Colour_iced tea,Colour_ivory,Colour_jade,Colour_lemon burst,Colour_lemon flame,Colour_mandarin,Colour_matte green,Colour_miscellaneous,Colour_natural,Colour_natural koa,Colour_ocean flame,Colour_paradise flame,Colour_purple,Colour_red,Colour_silver,Colour_silver burst,Colour_smokehouse burst,Colour_sunburst,Colour_tobacco,Colour_tobacco sunburst,Colour_trans cherry burst,Colour_vintage burst,Colour_vintage sunburst,Colour_walnut,Colour_white,Colour_worn ebony,Colour_worn heritage cherry,Colour_worn metallic gold,Colour_worn purple,Colour_yellow,Colour_nan,Body_alder,Body_ash,Body_basswood,Body_chambered spanish cedar,Body_mahogany,Body_nato,Body_okoume,Body_poplar,Body_sapele,Body_silverleaf maple,Body_solid wood,Body_spruce,Body_nan,Top_basswood,Top_buckeye,Top_burl poplar,Top_carved maple,Top_carved swamp ash,Top_hardwood,Top_koa,Top_mahogany,Top_maple,"Top_maple, flamed","Top_maple, quilt",Top_masonite,Top_none,Top_poplar,Top_poplar burl,Top_spruce,Top_swamp ash,Top_nan,Neck_mahogany,"Neck_mahogany, maple",Neck_maple,"Neck_maple, walnut","Neck_maple, walnut, maple",Neck_nato,Neck_nyatoh,Neck_okume,Neck_rosewood,Neck_sapele,Neck_silver leaf maple,Neck_nan,Fretboard_amaranth,Fretboard_blackwood,Fretboard_ebony,Fretboard_engineered hard  wood,Fretboard_indian laurel,Fretboard_jatoba,Fretboard_laurel,Fretboard_maple,Fretboard_ovangkol,Fretboard_pao ferro,Fretboard_pine wood,Fretboard_purple heart,Fretboard_resonator wood,Fretboard_richlite,Fretboard_roseacer,Fretboard_rosewood,Fretboard_tigerstripe ebony,Fretboard_walnut,Fretboard_nan,Pickups_h,"Pickups_h, p90",Pickups_hh,"Pickups_hh, piezo",Pickups_hhh,Pickups_hs,Pickups_hsh,Pickups_p90,"Pickups_p90, p90","Pickups_s, p90",Pickups_ss,Pickups_nan,Tremolo_bigsby-style,Tremolo_floyd rose,Tremolo_fr-style,Tremolo_music man,Tremolo_none,Tremolo_prs-style,Tremolo_standard,Tremolo_vintage,Tremolo_nan,Incl. Case_no,Incl. Case_yes,Incl. Case_nan
"{'colour': 'burst', 'body': 'mahogany', 'top': 'maple', 'neck': 'mahogany', 'fretboard': 'rosewood', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'yes', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/gibson_les_paul_standard_60s_bb.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,gibson les paul standard 60s bb,37.0,1,2199,9,1236,"{'item number': '462510', 'sales unit': '1 piece', 'available since': 'may 2019'}",22.0,628.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"{'colour': 'black', 'body': 'basswood', 'top': 'basswood', 'neck': 'maple', 'fretboard': 'rosewood', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'no', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/harley_benton_sc_400_sbk_vintage_series.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,harley benton sc-400 sbk vintage series,159.0,1,139,1,93,"{'item number': '362533', 'sales unit': '1 piece', 'available since': 'july 2015'}",22.0,628.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"{'colour': 'blue', 'body': 'okoume', 'top': 'maple', 'neck': 'nyatoh', 'fretboard': 'jatoba', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'no', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/harley_benton_sc_custom_plus_emg_ocf.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,harley benton sc-custom plus emg ocf,0.0,0,419,138,10518,"{'item number': '498001', 'sales unit': '1 piece', 'available since': 'march 2021'}",22.0,628.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"{'colour': 'cherry', 'body': 'mahogany', 'top': 'maple', 'neck': 'maple', 'fretboard': 'rosewood', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'no', 'incl. gigbag': 'yes'}",https://www.thomann.de/ie/gibson_les_paul_tribute_scb.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,gibson les paul tribute scs,20.0,1,1129,50,3632,"{'item number': '462524', 'sales unit': '1 piece', 'available since': 'may 2019'}",22.0,628.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"{'colour': 'black', 'body': 'okoume', 'top': 'none', 'neck': 'nyatoh', 'fretboard': 'jatoba', 'frets': '24', 'scale': '648 mm', 'pickups': 'hh', 'tremolo': 'fr-style', 'incl. case': 'no', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/harley_benton_sc_custom_plus_emg_fr_vbk.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,harley benton sc-custom plus emg fr vbk,1.0,1,519,72,5472,"{'item number': '497999', 'sales unit': '1 piece', 'available since': 'march 2021'}",24.0,648.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"{'colour': 'amber', 'body': 'okoume', 'top': 'maple', 'neck': 'nyatoh', 'fretboard': 'jatoba', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'no', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/harley_benton_sc_550plus_emg_paf.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,harley benton sc-550 plus emg paf,0.0,0,369,129,9758,"{'item number': '497996', 'sales unit': '1 piece', 'available since': 'march 2021'}",22.0,628.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"{'colour': 'black', 'body': 'basswood', 'top': 'basswood', 'neck': 'maple', 'fretboard': 'rosewood', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'no', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/harley_benton_sc_400_sbk_vintage_series_set.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,harley benton sc-400 sbk vintage seri bundle,0.0,0,199,41,2802,"{'item number': '371396', 'sales unit': '1 piece', 'available since': 'september 2015'}",22.0,628.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"{'colour': 'black', 'body': 'basswood', 'top': 'basswood', 'neck': 'maple', 'fretboard': 'rosewood', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'no', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/harley_benton_sc_400_sbk_vintage_seri_bundle.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,harley benton sc-400 sbk vintage seri bundle,0.0,0,233,27,2003,"{'item number': '371397', 'sales unit': '1 piece', 'available since': 'september 2015'}",22.0,628.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"{'colour': 'sunburst', 'body': 'mahogany', 'top': 'maple', 'neck': 'mahogany', 'fretboard': 'rosewood', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'yes', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/gibson_les_paul_studio_sb.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,gibson les paul studio sb,11.0,1,1390,12,1448,"{'item number': '462470', 'sales unit': '1 piece', 'available since': 'may 2019'}",22.0,628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"{'colour': 'natural', 'body': 'solid wood', 'top': 'none', 'neck': 'maple', 'fretboard': 'amaranth', 'frets': '22', 'scale': '628 mm', 'pickups': 'hh', 'tremolo': 'none', 'incl. case': 'no', 'incl. gigbag': 'no'}",https://www.thomann.de/ie/harley_benton_electric_guitar_kit_lpstyle.htm?sid=0d5752a01ee0e1c5f56d19afea8aab88,harley benton electric guitar kit single cut,832.0,1,111,3,360,"{'item number': '115992', 'sales unit': '1 piece', 'available since': 'august 2007'}",22.0,628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
